product_name,predicted_cat,predicted_sub_cat,error
TT Blue Cotton Formal Shirt (Size-40),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Boyzone T-Shirt - Multicolor (Size - 34),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Maxis Navy Loafers (Size-9),Apparel & Accessories,Apparel & Accessories->Men's Clothing,0
Zovi Regatta Blue And Pepper Green Premium Polo T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Twilight Blue And Red Striped Polo T-Shirt (Size-L),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Deep Purple Solid Polo T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
People Printed Women's Round Neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Black Cotton T-Shirt (Size-M),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Mustard Yellow Solid Round Neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Green Cotton T-Shirt (Size-M) | Zovi Blue Cotton T-Shirt (Size-L),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Black Polyester Formal Trouser (Size-30),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Purple Solid Leggings (Size-M),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Womens Surprise Top (Size-L),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Yellow Solid Polo T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Purple Cotton Casual Shirt (Size-38),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Womens Surprise Top (Size-S),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Blue Cotton T-Shirt (Size-XL),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Blue Cotton T-Shirt (Size-M),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Pidilite Fevikwik (Pack Of 60) | Pidilite Fevikwik (Pack Of 60) | Pidilite Fevikwik (Pack Of 60) | Pidilite Fevikwik (Pack Of 60) | Pidilite Fevikwik (Pack Of 60),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Blue Cotton Slim Fit Jeans (Size-34),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
STEPpings Yellow Slippers (Size-38),Apparel & Accessories,Apparel & Accessories->Men's Clothing,0
Zovi Grey Cotton T-Shirt (Size-M),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Womens Surprise Top (Size-M),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Skater Pool Aqua Blue Graphic T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
